Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Monoglobales,f__Monoglobaceae,g__Monoglobus,s__unclassified_g__Monoglobus,OTU710,0,0.081168831,0,0.009018759,0.018037518,0,0.00450938,0.00450938,0,0.00450938,0.009018759,0.112734488,0,0.022546898,0
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__unclassified_g__Arthrobacter,OTU379,0,0,0,0,0,0,0,0,0.00450938,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,OTU154,0.067640693,0.013528139,0.036075036,0.018037518,0.049603175,0,0,0,0,0,0.00450938,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_Bacteroidales_bacterium_g__norank_f__Muribaculaceae,OTU442,0.423881674,0.689935065,0.965007215,0.870310245,0.432900433,0.054112554,0.897366522,0.175865801,0.166847042,0.888347763,0.721500722,0.193903319,0.302128427,0.311147186,0.238997114
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank_o__Clostridia_UCG-014,g__norank_f__norank_o__Clostridia_UCG-014,s__unclassified_g__norank_f__norank_o__Clostridia_UCG-014,OTU778,0,0,0,0,0,0.045093795,0.049603175,0.356240981,0,0.036075036,0.00450938,0.013528139,0,0.288600289,1.321248196
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__norank_f__Oscillospiraceae,s__uncultured_bacterium_g__norank_f__Oscillospiraceae,OTU147,0.00450938,0.018037518,0,0,0.031565657,0,0,0,0,0,0,0,0.00450938,0,0
d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria,OTU681,0,0,0,0,0,0,0,0,0,0,0,0,0.00450938,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,s__uncultured_bacterium_g__Lachnospiraceae_NK4A136_group,OTU159,0,0,0,0,0.329184704,0,0,0,0,0,0.018037518,0,0,0,0.081168831
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank_o__Clostridia_UCG-014,g__norank_f__norank_o__Clostridia_UCG-014,s__unclassified_g__norank_f__norank_o__Clostridia_UCG-014,OTU421,0,0.031565657,0,0,0.009018759,0,0.018037518,0.099206349,0,0.09469697,0,0.009018759,0.306637807,0,0.00450938
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,s__uncultured_bacterium_g__Lachnospiraceae_NK4A136_group,OTU153,0.067640693,0.216450216,0.270562771,0.396825397,0.266053391,0.036075036,0.013528139,0.018037518,0.036075036,0.031565657,0,0.130772006,0.027056277,0.049603175,0.081168831
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU234,0,0,0,0,0,1.258116883,0.320165945,0.018037518,0.009018759,0,0,0,0.022546898,0,0.00450938
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank_o__Clostridia_UCG-014,g__norank_f__norank_o__Clostridia_UCG-014,s__unclassified_g__norank_f__norank_o__Clostridia_UCG-014,OTU786,0,0,0,0,0,0,0,0.00450938,0,0.009018759,0,0.040584416,0,0,0.040584416
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__unclassified_g__Erysipelatoclostridium,OTU416,0,0.031565657,0,0.027056277,0.018037518,0.112734488,0.229978355,0.207431457,0.022546898,1.127344877,0.780122655,0,0.018037518,0.00450938,0.189393939
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__norank_o__RF39,g__norank_f__norank_o__RF39,s__unclassified_g__norank_f__norank_o__RF39,OTU774,0,0,0,0,0,0,0,0,0,0,0,0,0.00450938,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__uncultured_organism_g__Bacteroides,OTU497,0,0,0,0.00450938,0,0.018037518,0.040584416,0.00450938,0.049603175,1.253607504,0,0.00450938,0.031565657,0.009018759,0
d__Bacteria,k__norank_d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila,s__uncultured_bacterium_g__Bilophila,OTU578,0,0,0,0,0,0,0,0,0,0.013528139,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU232,0,0,0,0,0,0,0.00450938,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__unclassified_g__norank_f__Muribaculaceae,OTU168,0.108225108,0.338203463,0.085678211,0.311147186,0.360750361,0.054112554,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank_f__Lachnospiraceae,s__uncultured_bacterium_g__norank_f__Lachnospiraceae,OTU214,0.040584416,0.108225108,0.036075036,0.040584416,0.248015873,0,0,0.00450938,0.018037518,0,0,0.085678211,0.018037518,0,0.054112554
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_sp._cv1,OTU590,0.018037518,0.031565657,0,0.018037518,0.058621934,0.072150072,0.022546898,0.013528139,0.009018759,0.072150072,0,0.00450938,0.027056277,0.018037518,0.022546898
